sampleID,pond,doy,treatment,chl_before,phyco_before,chl_after,phyco_after,chl_final,phyco_final
E20A1501B1,A,150,control,4324.7,764.95,,,2425.6,354.09
E20A1501B2,A,150,control,4153.4,726.67,,,2216.2,386.74
E20A1502B1,A,150,no3,4474.2,733.06,,,2664.5,432.16
E20A1502B2,A,150,no3,4125.7,723.09,,,2313.2,460.55
E20A1503B1,A,150,nh4,4080,617.39,,,2167.6,523.02
E20A1503B2,A,150,nh4,4108.7,640.76,,,2727.3,478.28
E20A1504B1,A,150,p,4236.2,674.85,,,1645,220
E20A1504B2,A,150,p,4107.7,731.62,,,1784.9,271.82
E20A1505B1,A,150,no3p,4224.8,664.88,,,3728.8,617.39
E20A1505B2,A,150,no3p,4666.4,737.32,,,3487,625.91
E20A1506B1,A,150,nh4p,3890.6,654.98,,,3715.4,595.4
E20A1506B2,A,150,nh4p,4089.6,719.52,,,3099.5,526.53
E20B1501B1,B,150,control,4300,490.38,,,3526,348.45
E20B1501B2,B,150,control,4464.6,466.94,,,3555.6,328.59
E20B1502B1,B,150,no3,4455.1,497.46,,,2354.2,347.7
E20B1502B2,B,150,no3,4343.8,472.58,,,2840.7,287.42
E20B1503B1,B,150,nh4,4330.5,438.56,,,4070.6,530.79
E20B1503B2,B,150,nh4,4412.3,476.84,,,3307,456.45
E20B1504B1,B,150,p,4409.5,471.2,,,2201.8,262.54
E20B1504B2,B,150,p,4613.1,466.94,,,2460.8,273.95
E20B1505B1,B,150,no3p,4554.1,493.2,,,4755,567.7
E20B1505B2,B,150,no3p,4243.8,503.85,,,4319.9,476.84
E20B1506B1,B,150,nh4p,4409.5,450.58,,,6857.9,586.12
E20B1506B2,B,150,nh4p,4785.5,498.14,,,4834.9,567.7
E20C1501B1,C,150,control,947.17,241.31,,,359.84,115.67
E20C1501B2,C,150,control,946.26,152.58,,,678.74,112.85
E20C1502B1,C,150,no3,859.62,139.79,,,685.45,132.71
E20C1502B2,C,150,no3,1050.9,207.9,,,458.86,158.28
E20C1503B1,C,150,nh4,908.17,124.88,,,828.24,139.79
E20C1503B2,C,150,nh4,947.17,256.91,,,602.57,125.64
E20C1504B1,C,150,p,876.79,174.57,,,1224.2,254.02
E20C1504B2,C,150,p,894.87,184.54,,,1591.6,254.02
E20C1505B1,C,150,no3p,947.17,166.8,,,575.96,92.99
E20C1505B2,C,150,no3p,939.55,163.23,,,1036.6,137.66
E20C1506B1,C,150,nh4p,885.32,162.54,,,1319.4,107.9
E20C1506B2,C,150,nh4p,967.18,192.3,,,1773.4,149.76
E20D1501B1,D,150,control,818.7,170.31,,,2929.1,204.4
E20D1501B2,D,150,control,879.63,137.66,,,2542.7,224.28
E20D1502B1,D,150,no3,801.53,132.71,,,2669.2,249.83
E20D1502B2,D,150,no3,788.23,188.23,,,1737.3,183.09
E20D1503B1,D,150,nh4,832,205.77,,,1833.5,223.57
E20D1503B2,D,150,nh4,715.91,135.53,,,1936.2,295.19
E20D1504B1,D,150,p,768.22,132.71,,,2554,484.67
E20D1504B2,D,150,p,751.05,154.02,,,3305.2,328.59
E20D1505B1,D,150,no3p,1069,186.67,,,2298.9,277.46
E20D1505B2,D,150,no3p,903.4,182.41,,,1863.9,225.7
E20D1506B1,D,150,nh4p,1098.6,173.13,,,1839.2,206.53
E20D1506B2,D,150,nh4p,854.85,183.09,,,1612.6,285.29
E20E1501B1,E,150,control,3640.3,325.7,,,1866.8,278.9
E20E1501B2,E,150,control,3676.4,377.53,,,2216.2,217.18
E20E1502B1,E,150,no3,3836.4,332.1,,,1494.5,155.4
E20E1502B2,E,150,no3,4186.7,377.53,,,1446.9,171.75
E20E1503B1,E,150,nh4,3617.4,273.2,,,1456.5,188.8
E20E1503B2,E,150,nh4,3935.4,372.58,,,1263.2,138.42
E20E1504B1,E,150,p,3796.4,363.3,,,1923.9,220.69
E20E1504B2,E,150,p,4014.4,351.27,,,1919.2,257.59
E20E1505B1,E,150,no3p,3671.6,346.32,,,1782.1,289.55
E20E1505B2,E,150,no3p,3617.4,348.45,,,1458,239.18
E20E1506B1,E,150,nh4p,3745.9,356.98,,,2555.1,244.12
E20E1506B2,E,150,nh4p,3590.8,338.49,,,1669.7,263.3
E20F1501B1,F,150,control,1000.4,177.39,,,584.49,113.54
E20F1501B2,F,150,control,495.93,161.1,,,1038.5,144.74
E20F1502B1,F,150,no3,594.04,154.71,,,969.11,184.54
E20F1502B2,F,150,no3,495.02,131.27,,,1306,188.04
E20F1503B1,F,150,nh4,626.44,146.19,,,1102.3,227.08
E20F1503B2,F,150,nh4,642.59,180.27,,,1237.5,253.33
E20F1504B1,F,150,p,721.6,163.92,,,2456,487.49
E20F1504B2,F,150,p,552.09,198.01,,,2140,453.47
E20F1505B1,F,150,no3p,497.86,172.44,,,1168.9,259.04
E20F1505B2,F,150,no3p,616.89,186.67,,,2894.9,369
E20F1506B1,F,150,nh4p,552.09,146.19,,,981.5,222.13
E20F1506B2,F,150,nh4p,572.1,126.32,,,1497.4,261.17
E20A1551B1,A,155,control,4226.9,748.66,,,2618.8,540
E20A1551B2,A,155,control,3596.5,683.37,,,2710.2,511.62
E20A1552B1,A,155,no3,3979.2,720.96,,,4450.4,1174.4
E20A1552B2,A,155,no3,4545.6,713.2,,,4030.6,989.21
E20A1553B1,A,155,nh4,4653.1,757.87,,,5325.3,1273
E20A1553B2,A,155,nh4,4514.2,706.8,,,4558.9,1255.3
E20A1554B1,A,155,p,4313.3,708.93,,,2632.2,581.86
E20A1554B2,A,155,p,4443.7,828.11,,,2535.1,556.36
E20A1555B1,A,155,no3p,4889.3,769.21,,,5227.2,1217.6
E20A1555B2,A,155,no3p,4295.1,716.01,,,5008.2,970.03
E20A1556B1,A,155,nh4p,4613.1,755.05,,,5561.3,1229
E20A1556B2,A,155,nh4p,4594.1,740.82,,,6380.9,1237.5
E20B1551B1,B,155,control,1466.9,220,,,2009.6,332.85
E20B1551B2,B,155,control,1545,212.16,,,1870.5,259.73
E20B1552B1,B,155,no3,1498.3,210.03,,,2140.9,199.38
E20B1552B2,B,155,no3,1389.8,202.96,,,1405.1,241.99
E20B1553B1,B,155,nh4,1528.8,211.48,,,2239,330.72
E20B1553B2,B,155,nh4,1519.3,231.34,,,1876.3,264.67
E20B1554B1,B,155,p,1511.7,230.65,,,1309.8,220
E20B1554B2,B,155,p,1507.9,250.52,,,1047.1,248.38
E20B1555B1,B,155,no3p,1557.4,241.31,,,2024.8,475.46
E20B1555B2,B,155,no3p,1586,215.74,,,2205.7,540.76
E20B1556B1,B,155,nh4p,1529.8,226.39,,,2429.3,547.84
E20B1556B2,B,155,nh4p,1529.8,202.27,,,2408.4,404.47
E20C1551B1,C,155,control,412.24,120.62,,,882.48,173.13
E20C1551B2,C,155,control,456.93,90.86,,,750.14,131.27
